                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     51,               0.037172,               0.055521,               0.064304,               0.011754,                0.78995,                0.84063,                0.82941,                0.66364,                0.78749,                0.86724,                0.84404,                0.69555,               0.033242,               0.029663,               0.024913,              0.0031535,                 0.0055,                 0.0055,                 0.0055
                     52,               0.038079,               0.055162,               0.064424,               0.011318,                0.78759,                0.85671,                0.83193,                0.65581,                0.79477,                0.85847,                0.83868,                0.66719,               0.032907,               0.029764,                0.02654,              0.0030431,                0.00541,                0.00541,                0.00541
                     53,               0.037339,               0.054647,               0.061537,               0.011507,                0.77734,                0.87066,                0.87269,                0.69119,                 0.7907,                0.88217,                0.88867,                0.71426,               0.031982,               0.031105,               0.024993,              0.0032117,                0.00532,                0.00532,                0.00532
                     54,               0.037785,               0.054618,               0.066102,               0.011873,                0.78689,                0.86891,                0.85287,                0.68687,                0.79128,                0.88252,                0.86626,                0.69465,               0.031619,               0.030342,               0.025047,              0.0030377,                0.00523,                0.00523,                0.00523
                     55,               0.037338,               0.055299,               0.063366,                0.01141,                 0.7532,                0.89033,                0.84861,                0.65614,                0.76605,                0.89839,                0.85965,                0.65743,               0.030973,               0.030117,               0.024362,              0.0031012,                0.00514,                0.00514,                0.00514
                     56,                0.03508,               0.051692,               0.060075,               0.011386,                0.80292,                0.85513,                0.85517,                 0.6878,                0.80842,                0.86376,                0.85973,                0.68444,               0.030948,               0.029154,               0.024022,              0.0029897,                0.00505,                0.00505,                0.00505
                     57,               0.036605,               0.053834,               0.061335,               0.011739,                0.81199,                0.82229,                0.86142,                0.64805,                0.81251,                0.82218,                0.86146,                0.69351,                0.03157,               0.029512,               0.025411,              0.0026512,                0.00496,                0.00496,                0.00496
                     58,               0.038157,               0.052976,               0.064293,               0.012148,                0.81923,                0.85015,                0.86359,                0.68134,                0.82407,                0.85316,                0.86937,                  0.677,               0.033433,                0.02953,               0.024305,              0.0033538,                0.00487,                0.00487,                0.00487
                     59,               0.037023,               0.053247,               0.061344,               0.010979,                0.73011,                 0.8682,                0.85138,                0.65951,                0.73625,                0.87271,                 0.8589,                 0.6765,               0.032557,               0.029504,               0.027248,              0.0032961,                0.00478,                0.00478,                0.00478
                     60,               0.036421,               0.053865,               0.063861,               0.011291,                0.80814,                 0.8407,                0.85348,                0.69145,                0.81235,                0.84457,                0.85813,                0.69919,               0.032274,               0.029529,               0.026732,              0.0031648,                0.00469,                0.00469,                0.00469
                     61,               0.036761,                0.05433,                0.06222,               0.011338,                0.84185,                0.85981,                0.88983,                0.72212,                 0.8451,                0.86282,                0.89218,                0.71942,                  0.032,               0.028811,               0.024458,               0.002313,                 0.0046,                 0.0046,                 0.0046
                     62,               0.036058,               0.053123,               0.063823,               0.010863,                0.75178,                0.88672,                 0.8938,                0.66949,                0.75601,                0.88996,                0.89894,                0.71271,               0.031913,               0.029548,               0.024354,              0.0024256,                0.00451,                0.00451,                0.00451
                     63,               0.035823,               0.052791,                0.06167,               0.011504,                0.83157,                0.84467,                0.88472,                0.70145,                0.83315,                0.84759,                0.88467,                0.69087,               0.032788,               0.030288,               0.022909,              0.0025314,                0.00442,                0.00442,                0.00442
                     64,               0.035148,               0.051786,               0.061596,                 0.0111,                0.81098,                0.82588,                0.87987,                0.69563,                0.81328,                0.82057,                0.87957,                0.71581,               0.032834,               0.030695,               0.024193,               0.002649,                0.00433,                0.00433,                0.00433
                     65,                0.03511,               0.051689,               0.059417,               0.011102,                0.81752,                0.84544,                0.86311,                0.70979,                0.83166,                0.85622,                0.88145,                0.70029,                0.03172,               0.030033,                0.02472,              0.0024928,                0.00424,                0.00424,                0.00424
                     66,               0.034882,               0.052101,               0.061684,                0.01123,                0.83431,                0.85327,                0.86248,                0.68936,                0.84616,                 0.8631,                0.87366,                0.70486,               0.030016,                0.02893,               0.025683,              0.0022796,                0.00415,                0.00415,                0.00415
                     67,               0.035142,               0.052787,               0.061467,                 0.0109,                0.80551,                0.89462,                0.86991,                 0.6921,                 0.8194,                0.90638,                0.88594,                0.70741,               0.031632,               0.028598,                 0.0254,              0.0027032,                0.00406,                0.00406,                0.00406
                     68,               0.034349,               0.052979,               0.059493,               0.011143,                0.79907,                0.89466,                0.86689,                0.70981,                0.81351,                0.90836,                0.88408,                0.71372,               0.031908,               0.028816,               0.025287,              0.0027079,                0.00397,                0.00397,                0.00397
                     69,               0.034475,               0.052316,               0.061717,               0.010553,                0.78923,                0.86666,                0.87521,                0.71955,                 0.8165,                0.87023,                0.88819,                0.70368,               0.030592,               0.029456,               0.025065,              0.0029766,                0.00388,                0.00388,                0.00388
                     70,               0.034402,               0.052076,               0.060376,                0.01112,                0.83338,                0.85355,                0.88544,                0.72152,                0.84065,                0.86541,                0.88995,                0.71412,               0.029834,               0.028925,               0.024379,               0.002492,                0.00379,                0.00379,                0.00379
                     71,               0.035941,               0.053713,               0.062262,               0.010965,                0.81408,                0.85653,                0.88126,                0.66813,                0.82718,                0.86757,                 0.8956,                0.69992,               0.029439,                0.02842,               0.024345,              0.0020513,                 0.0037,                 0.0037,                 0.0037
                     72,               0.033867,               0.050868,               0.057713,               0.010872,                0.76853,                0.88054,                0.87806,                0.69962,                0.78608,                0.90006,                0.89708,                0.72761,               0.030223,               0.029012,               0.024817,              0.0024161,                0.00361,                0.00361,                0.00361
                     73,               0.034058,               0.051249,               0.062033,               0.010478,                0.84054,                0.82932,                0.88011,                0.72124,                0.85364,                0.83901,                0.89802,                0.72509,               0.031169,                0.02921,               0.026198,              0.0021069,                0.00352,                0.00352,                0.00352
                     74,               0.033746,               0.051219,               0.059613,               0.010824,                0.82507,                0.84731,                0.88063,                0.72784,                0.82927,                0.84893,                0.88448,                0.71304,               0.030444,               0.029335,                0.02488,              0.0019941,                0.00343,                0.00343,                0.00343
                     75,               0.034286,               0.051387,               0.060147,               0.010791,                0.80352,                0.88813,                 0.8819,                0.70852,                0.81317,                0.89796,                0.89476,                0.71144,               0.030597,               0.029543,               0.025981,              0.0022055,                0.00334,                0.00334,                0.00334
                     76,               0.033548,               0.051665,               0.059743,                0.01085,                0.83024,                0.85594,                0.88646,                0.71469,                0.84627,                0.86725,                0.89677,                0.69636,               0.030371,               0.029235,               0.024602,              0.0021022,                0.00325,                0.00325,                0.00325
                     77,               0.033282,               0.050096,               0.058195,               0.010434,                0.82234,                0.88102,                0.86968,                0.72422,                0.83271,                0.89049,                0.88087,                0.70517,               0.029409,               0.029188,               0.025417,              0.0019441,                0.00316,                0.00316,                0.00316
                     78,               0.033248,               0.051235,               0.057778,               0.010553,                0.83213,                0.84711,                0.85569,                0.68432,                0.83428,                0.84904,                0.85827,                0.69576,                0.03054,               0.028806,               0.024487,              0.0021414,                0.00307,                0.00307,                0.00307
                     79,               0.033143,                0.05167,               0.057871,               0.010612,                0.84764,                0.85419,                 0.8695,                0.73949,                0.84988,                0.85613,                0.87851,                0.72537,               0.030056,               0.028034,                 0.0248,              0.0023672,                0.00298,                0.00298,                0.00298
                     80,               0.032699,               0.050309,               0.057645,               0.010424,                0.83447,                0.84332,                0.87821,                 0.7295,                0.83672,                0.84525,                0.88623,                0.72693,                0.03028,               0.028424,               0.024669,              0.0024907,                0.00289,                0.00289,                0.00289
                     81,               0.031626,               0.049149,               0.056022,                0.01042,                0.82408,                0.87405,                 0.8674,                0.73634,                0.82196,                 0.8918,                0.88256,                0.70983,                0.03013,               0.028972,               0.024955,              0.0020354,                 0.0028,                 0.0028,                 0.0028
                     82,               0.031764,               0.049879,               0.054413,              0.0098981,                0.80765,                0.86296,                0.87167,                0.71774,                0.81927,                0.87279,                0.88469,                0.73075,               0.029616,               0.028695,               0.023793,              0.0019328,                0.00271,                0.00271,                0.00271
                     83,               0.032291,               0.049729,               0.055713,               0.010453,                0.80544,                0.87375,                0.87452,                0.74014,                0.81125,                0.87956,                0.88546,                0.70823,               0.028077,               0.029029,               0.024652,              0.0016277,                0.00262,                0.00262,                0.00262
                     84,                0.03308,               0.051002,               0.059838,               0.010422,                0.82354,                0.87689,                0.88652,                0.74834,                0.82561,                0.87259,                0.89194,                0.73892,               0.028535,               0.027928,               0.024659,               0.001664,                0.00253,                0.00253,                0.00253
